Name,Platform,HasGuide,HasPlatinum,Difficulty,TimeToComplete,HasOnlineTrophies,Genre,Release(US),Guide
Resident Evil: Revelations 2,PS3,True,True,5,35,False,Action,2015-02-24,https://www.playstationtrophies.org/game/resident-evil-revelations-2-ps3/guide/
Resident Evil: The Darkside Chronicles,PS3(PSN),True,False,8,60,False,Action Shooter,2012-06-26,https://www.playstationtrophies.org/game/resident-evil-the-darkside-chronicles/guide/
Resident Evil: The Umbrella Chronicles,PS3(PSN),True,False,5,35,False,Action Shooter,2012-06-26,https://www.playstationtrophies.org/game/resident-evil-the-umbrella-chronicles/guide/
Resistance 3,PS3,True,True,5,30,False,Shooter,2011-09-06,https://www.playstationtrophies.org/game/resistance-3/guide/
Resogun,PS4,True,True,5,10,False,Shmup,2013-11-15,https://www.playstationtrophies.org/game/resogun/guide/
Retro City Rampage DX,PS3(PSN),True,False,2,5,False,Action,2014-11-11,https://www.playstationtrophies.org/game/retro-city-rampage-dx/guide/
Retro/Grade,PS3(PSN),True,False,9,50,False,Shooter,2012-08-21,https://www.playstationtrophies.org/game/retro-grade/guide/
Reus,PS4,False,True,n/a,n/a,n/a,Simulation,n/a,https://www.playstationtrophies.org/game/reus/guide/
Revenge of Shinobi,PS3(PSN),True,False,4,4,False,Action,2012-05-22,https://www.playstationtrophies.org/game/revenge-of-shinobi/guide/
Ricochet HD,PS3(PSN),True,False,8,20,False,Puzzle and Word,2011-01-04,https://www.playstationtrophies.org/game/ricochet-hd/guide/
RIDE 3,PS4,True,True,7,60,True,Racing,2018-11-30,https://www.playstationtrophies.org/game/ride-3/guide/
Rise of the Argonauts,PS3(no_trophies),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Risen 3: Titan Lords - Enhanced Edition,PS4,False,True,n/a,n/a,n/a,RPG,2015-08-21,https://www.playstationtrophies.org/game/risen-3-titan-lords-enhanced-edition/guide/
RIVE,PS4,False,True,n/a,n/a,n/a,Action,n/a,https://www.playstationtrophies.org/game/rive/guide/
Rocket Knight,PS3(PSN),True,False,7,10,False,Platformer,2010-05-18,https://www.playstationtrophies.org/game/rocket-knight/guide/
Rocket League,PS4,True,True,2,6,False,Action Racing,2015-07-07,https://www.playstationtrophies.org/game/rocket-league/guide/
Rocketbirds: Hardboiled Chicken,PS3(PSN),True,True,3,20,False,Action,2011-10-18,https://www.playstationtrophies.org/game/rocketbirds-hardboiled-chicken/guide/
Rogue Galaxy,PS4,True,True,4,90,False,RPG,2015-12-05,https://www.playstationtrophies.org/game/rogue-galaxy/guide/
Rogue Stormers,PS4,False,False,n/a,n/a,n/a,Action RPG,n/a,https://www.playstationtrophies.org/game/rogue-stormers-na/guide/
Rogue Warrior,PS3,False,True,n/a,n/a,n/a,Shooter,2009-12-01,https://www.playstationtrophies.org/game/rogue-warrior/guide/
Romance of the Three Kingdoms XIII,PS4,False,True,n/a,n/a,n/a,Strategy,2016-07-05,https://www.playstationtrophies.org/game/romance-of-the-three-kingdoms-13-na-ps4/guide/
Rotastic,PS3(PSN),True,False,5,20,False,Puzzle and Word,2012-12-04,https://www.playstationtrophies.org/game/rotastic/guide/
Rugby 15,PS3,True,True,2,10,False,Sports and Fitness,n/a,https://www.playstationtrophies.org/game/rugby-15-ps3/guide/
Rugby World Cup 2015,PS3,True,True,2,5,False,Sports and Fitness,n/a,https://www.playstationtrophies.org/game/rugby-world-cup-15-ps3/guide/
Rune Factory: Tides of Destiny,PS3,True,True,unknown,100,True,RPG,2011-10-11,https://www.playstationtrophies.org/game/rune-factory-tides-of-destiny/guide/
Sacred 3,PS3,True,True,3,50,True,RPG,2014-08-05,https://www.playstationtrophies.org/game/sacred-3/guide/
Sacred Citadel,PS3(PSN),True,False,3,20,False,Action,2013-04-16,https://www.playstationtrophies.org/game/sacred-citadel/guide/
Saints Row 2,PS3(no_trophies),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Saints Row The Third,PS3,True,True,3,40,False,Action,2011-11-15,https://www.playstationtrophies.org/game/saints-row-the-third/guide/
Saints Row IV,PS3,True,True,3,50,True,Action,2013-08-20,https://www.playstationtrophies.org/game/saints-row-4/guide/
Saints Row IV: Re-Elected,PS4,True,True,3,50,True,Action,2015-01-20,https://www.playstationtrophies.org/game/saints-row-4-re-elected/guide/
Saints Row: Gat Out of Hell,PS4,True,True,2,20,True,Action,2015-01-20,https://www.playstationtrophies.org/game/saints-row-gat-out-of-hell-ps4/guide/
Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone,PS3(PSN),True,False,2,10,False,Adventure,2010-04-15,https://www.playstationtrophies.org/game/sam-and-max-the-devils-playhouse/guide/
Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,PS3(PSN),True,False,3,5,False,Adventure,2010-05-18,https://www.playstationtrophies.org/game/sam-and-max-the-devils-playhouse-ep2/guide/
Sam & Max: The Devil's Playhouse - Episode 3: They Stole Max's Brain,PS3(PSN),True,False,2,10,False,Adventure,2010-06-22,https://www.playstationtrophies.org/game/sam-and-max-the-devils-playhouse-3/guide/
Sam & Max: The Devil's Playhouse - Episode 4: Beyond the Alley of the Dolls,PS3(PSN),True,False,unknown,6,False,Adventure,2010-07-20,https://www.playstationtrophies.org/game/sam-and-max-the-devils-playhouse-4/guide/
Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep,PS3(PSN),True,False,2,10,False,Adventure,2010-08-31,https://www.playstationtrophies.org/game/sam-and-max-the-devils-playhouse-5/guide/
